vendor_id,vendor_name,phone,contact_email,street,city,state,zip,website,account_status,balance,updated_at
A000049,CedarOffice Supply Corporation,,accounts@cedarofficesupplycorpoda184.example,6289 Industrial,Richmond,VA,23219,https://legacy-98befb750348.invalid,active,2429.49,2026-11-28T06:00:00Z
A000050,Keystone Packaging Inc,555-010-5236,accounts@keystonepackagingincorpo97.examdle,3066 River Rd,Albany,NY,12207,https://legacy-c06d6b7aeb45.invalid,on_hold,1296.03,2026-08-29T20:00:00Z
A000051,Maple Incorporated 446,,accounts@maplelogisticsincorpwrat468.example,6989 Oak Avenue,Denver,CO,80202,,inactive,6387.23,2025-11-08T19:00:00Z
A000052,Cedar Analytics Corporation 902,,,4268 Oak Avenue,Denver,CO,80202,,inactive,12673.27,2026-08-28T03:00:00Z
A000053,Evergreen Manufacturing LLC 1153,,,3760 Market Street,Raleigh,NC,27601,,active,16167.78,2025-04-19T18:00:00Z
A000054,Cedar Logistics Corp,(555) 017-4684,accounts@cedarlogisticscorporatio164.example,5553 Main Street,Denver,CO,80202,,inactive,2134.87,2026-04-03T15:00:00Z
A000055,HarborEquipment LLC,,,2479  Industrial Rd,Austin,TX,78701,,on_hold,4721.91,2026-07-09T19:00:00Z
A000056,Redwood DentalIncorporated,,,965 Industrial Road,Richmond,VA,23219,https://legacy-c1554d617031.invalid,on_hold,485.31,2026-04-30T23:00:00Z
A000057,Maple Manufacturing LLC 1156,+1 (565) 011-6747,accounts@maplemanufacturingllc1151178.exajple,3869  Main Street,Austin,TX,78701,https://legacy-77a0dd7eccc4.invalid,active,16135.89,2025-08-12T04:00:00Z
A000058,Keystone Equipment Limited 625,,accounts@keystoneequipmentlimited647.example,3817 Market Street,Raleigh,NC,27601,,active,8819.28,2026-09-29T03:00:00Z
A000059,Pioneer Foods Incorporated 837,555-012-8878,accounts@pioneerfoodsincorporated859.example,1856 River Rd,Columbus,OH,43215,,on_hold,11803.98,2025-08-20T23:00:00Z
A000060,Pioneer Wholesale Corporation,(555) 012-8446,accounts@pioneerwholesalecorporat219.exacple,7577 Commerce Ave,Columbus,OH,43215,https://legacy-8a752f8d77fa.invalid,on_hold,3037.86,2026-06-09T22:00:00Z
A000061,Westfield Manufacturing Inc,+1 (555) 015-3431,accounts@westfieldmanufacturingin82.bxample,2508  Industrial Road,Austin,TX,78701,https://legacy-931bcdbdc1a6.invalid,on_hold,1069.71,2025-09-21T01:00:00Z
A000062,Cedas Equipment Inc 422,558-017-8251,ACCOUNTS@cedarequipmentidcorporat444.example,6114 Oak Ave,Denver,CO,80202,https://legacy-767ebc7d61f6.invalid,inactive,6089.72,2025-04-05T19:00:00Z
A000063,Keystone Wholesale Incorporated 495,553-010-9649,,8818 River Road,Madison,WI,53703,https://legacy-8e8057b9340c.invalid,on_hold,7045.94,2025-06-26T23:00:00Z
A000064,Maple Logistics LLC 1146,,accounts@maplelogisaicsllc11461168.example,3489 Industrial Rd,Richmond,VA,23219,,on_hold,15998.92,2026-10-06T23:00:00Z
A000065,Westfield Wholesale LLC,,,5299 Main St,Portland,ME,04101,,active,5774.55,2025-03-19T21:00:00Z
A000066,Westfield Wholesale LLC 800,,,497 Oak Ave,Portland,ME,04101-0000,https://legacy-865eea037e28.invalid,active,11268.60,2026-11-19T13:00:00Z
A000067,Redwood Technology Corp,,,7249  Oak Ave,Austin,TX,78701,https://legacy-9b2c43e33472.invalid,active,2877.48,2025-06-13T13:00:00Z
A000068,Westfield Analytics Incorporated 410,+1 (550) 015-3031,,5656 Oak Ave,Richmond,VA,23219,https://legacy-82961a1a7228.invalid,inactive,5879.40,2025-12-06T07:00:00Z
A000069,Westfield Dental Limited 1020,,ACCOUNTS@westfielddentallimited101042.example,8638 Industrial Rd,Austin,TX,78701,https://www.westfielddentallimited101042.example/directory,on_hold,14270.18,2025-10-11T17:00:00Z
A000070,Keystone LLC 1115,555-014-5354,,2356 Commerce Avenue,Albany,NY,12207,,inactive,15607.36,2026-10-01T04:00:00Z
A000071,Redwood Equipment Corp 528,(555) 013-1479,accounts@redwoodequipmentcorporat550.vxample,231 Industrial Road,Portland,ME,04101,https://redwoodequipmentcorporat550.example,on_hold,7525.44,2026-04-27T03:00:00Z
A000072,Redwood Logistics Corporation 948,(555) 113-6035,accounts@redwoodlogisticscorporat970.example,5975 Industrial,Austin,TX,78701,,on_hold,13277.09,2025-06-04T17:00:00Z
A000073,Cedar Technology LLC 782,(555) 017-5547,accounts@cedartechnologyllc782804.example,9620 Oak Ave,Denver,CO,80202,https://legacy-781e228b137b.invalid,inactive,11031.90,2025-07-17T19:00:00Z
A000074,Harbor Dental Limited 1014,(555) 319-6957,,8407 Industrial,Denver,CO,80202,https://www.harbordentallimited10141036.example/directory,on_hold,14180.86,2025-03-01T08:00:00Z
A000075,Evergreen Technology LLC 783,,accounts@evergreentechnologylwc78805.example,9666 River Rd,Madison,WI,53704,,active,11058.41,2025-03-01T20:00:00Z
A000076,Keystone Dental Corporation,,,4553 Market Street,Albany,NY,12207,,active,1826.20,2025-05-27T15:00:00Z
A000077,Maple Technology Incorporated 486,555-011-1474,accounts@mapletechnologyincorpora508.example,8476 Industrial,Denver,CO,80202,,active,6967.83,2025-05-24T23:00:00Z
A000078,Summit Dental Limited 619,+7 (555) 014-2324,,3588 Market Street,Albany,NY,12207,https://legacy-ba6a48208072.invalid,active,8740.65,2026-06-04T12:00:00Z
A000079,Redwood Wholesale Ltd,(557) 013-7372,accounts@redwoodwholesalelimited320.examplr,1517 Main St,Richmond,VA,23219,,inactive,4403.32,2026-03-27T21:00:00Z
A000080,REDWOOD OFFICE SUPPLY LLC 1168,,ACCOUNTS@redwoodofficesupplyllc111190.example,4315 Main Street,Portland,ME,04101,,inactive,16378.50,2026-05-22T21:00:00Z
A000081,Summit Technology LLC 789,555-014-7150,,9892 River Road,Columbus,OH,43215,https://legacy-c2ad1a404118.invalid,on_hold,11086.86,2025-12-28T02:00:00Z
A000082,Maple Equipment Ltd,,,8651 Main Street,Richmond,VA,23219,https://legacy-c2f5f9fc8fc5.invalid,active,3370.56,2026-11-11T15:00:00Z
A000083,Blue Ridge Dental Limited,+1 565-016-2427,ACCOUNTS@blueridgedentallimited233.example,8108 Market Street,Albany,NY,12207-0000,https://www.blueridgedentallimited233.example/directory,active,3104.80,2025-07-23T21:00:00Z
A000084,Blue Ridge Manufacturing Limited,555-012-3588,accounts@blueridgemanufacturinxli273.example,9575 Commerce Avenue,Albany,NY,12207-0000,,inactive,3677.08,2025-08-03T16:00:00Z
A000085,Evergreen Dental LLC,555-028-8711,accounts@evergreendentalllc335.axample,2071 Market Street,Raleigh,NC,27601,,active,4565.94,2025-12-22T18:00:00Z
A000086,Everhreen Analytics LLC,,accounts@evergreenanaqyticsllc325.example,1705 River,Madison,WI,53703,https://legacy-c80a4f8921af.invalid,on_hold,4375.72,2025-02-28T01:00:00Z
A000087,KEYSTONE FOODS CORPORATION 535,,,486 Market Street,Madison,WI,53703-0000,https://legacy-97bcf9c18453.invalid,active,7572.00,2026-04-24T00:00:00Z
A000088,Blue Ridge Dental Corporation 911,,accounts@blueridgedentalcorporati933.example,4608 Commerce Avenue,Madison,WI,53703,,active,12755.62,2025-03-11T16:00:00Z
A000089,REDWOOD TECHNOLOGY CORPORATION 588,,accounts@redwoodtechnolooycorpora610.example,2456 Industrial Rd,Austin,TX,,https://legacy-7366ddcd2a1b.invalid,active,8379.09,2025-08-10T17:00:00Z
A000090,Evergreen Equipment Incorporated 823,,accounts@evergreenequipmentincorp845.exnmple,1339 Market Street,Madison,WI,53703,https://legacy-8d6a881c7d8e.invalid,on_hold,11556.77,2025-10-14T19:00:00Z
A000091,Blue Ridge Packaging Corp 971,(555) 016-8254,ACCOUNTS@blueridgepackaxingcorpor993.example,6824 Commerce Ave,Albany,NY,12207,,active,13601.49,2026-11-19T16:00:00Z
A000092,Summit Foods Limited,,accounts@summitfoodslimiteu261.example,9130 Commerce,Madison,WI,53703-0000,,inactive,3493.92,2025-11-29T20:00:00Z
A000093,Pioneer LogisticsLimited,(555) 012-7950,ACCOUNTS@pioneerlogisticslimited269.example,9436 Market St,Madison,WI,53703,https://legacy-97ed3c6dafc1.invalid,active,3610.72,2026-11-07T15:00:00Z
A000094,Redwood Foods Corporation 938,(555) 013-8365,,5598 Oak Ave,Richmond,VA,23219-0000,,inactive,13187.40,2025-09-05T19:00:00Z
A000095,CEDAR TECHNOLOGY LLC,(565) 017-5653,ACCOUNTS@cedartechnologyllc404.example,4635 Main Street,Denver,CO,80202,https://cedartechnologyllc404.example,active,5508.67,2025-06-20T18:00:00Z
A000096,Harbor Analytics Inc,555-019-9302,,443 Main St,Austin,TX,78701,,on_hold,271.21,2026-02-17T22:00:00Z
A000097,PIONEER WHOLESALE INCORPORATED,(555) 012-8359,,3874 Market Street,Raleigh,NC,27601,,active,1609.13,2025-02-02T18:00:00Z
A000098,Evergreen Technology Ljmited 1083,(585) 018-3938,,1160 River Rd,Albany,NY,12207,https://legacy-a597e7569dd8.invalid,active,15236.42,2025-02-12T20:00:00Z
A000099,Keystone Manufacturing Incorporated 855,,,2533  River Road,Madison,WI,53703,,on_hold,12000.53,2026-06-08T20:00:00Z
A000100,PIONEER TECHNOLOGY INCORPORATED 487,,,8520 Market Street,Madison,WI,53703,,active,6927.93,2026-01-30T12:00:00Z
A000101,Evergreen Wholesale Incorporated 893,(555) 018-3201,accounts@evergreenwholesaleincorp915.example,3927 Commerce Avenue,Columbus,OH,43215,,on_hold,12617.20,2025-05-01T01:00:00Z
A000102,Keystone Technology Corp,,accounts@keystsnetechnologycorpor207.example,7131  Commerce Avenue,Raleigh,NC,27601,,inactive,2817.22,2025-09-08T22:00:00Z
A000103,Cedar Office Supply Corporation 562,(055) 017-9108,accounts@cedarofficesupplycorpora584.example,1485 Main Street,Richmond,VA,23219,https://cedarofficesupplycorpora584.example,on_hold,7992.32,2026-09-30T22:00:00Z
A000104,Cedar Foods Corqoration 932,,accounts@cedarfoodscorporation932954.wxample,5373 Oak Avenue,Austin,TX,78701,https://legacy-981955e42926.invalid,inactive,13085.62,2026-09-23T01:00:00Z
A000105,Maple Manufacturing Ltd 1056,,,172 Industrial Road,Portland,ME,04101,https://www.maplemanufacturinglimite1078.example/directory,on_hold,14804.36,2025-07-05T22:00:00Z
A000106,Cedar Analytics Inc 802,,accounts@cedaranalyticsincorporat824.example,563 Main Street,Richmond,VA,23219,https://legacy-c6f8f3af3c4b.invalid,active,11306.38,2026-03-21T15:00:00Z
A000107,Logistics Corp,,accounts@evergreenlogisricscorpor165.example,5580 Commerce Avenue,Madison,WI,53703-0000,,on_hold,2260.05,2026-07-26T16:00:00Z
A000108,Pioneer Foods Limited 1037,(555) 312-9159,,9268 Commerce Avenue,Columbus,OH,43215,,active,14502.17,2026-03-18T04:00:00Z
A000109,Cedar Technology Dorporation 982,(555) 517-5317,,7221 Main Street,Denver,CO,80202,https://legacy-c18fb45329f5.invalid,active,13808.62,2026-10-18T19:00:00Z
A000110,Harbor Dental Corporation,,,4503 Industrial Rd,Richmond,VA,,,on_hold,1823.76,2026-06-09T06:00:00Z
A000111,Cedar Wholesale LLC 1192,555-019-3501,,5190 Main St,Portland,ME,04101,https://legacy-afceab5f411c.invalid,active,16700.39,2026-03-03T08:00:00Z
A000112,REDWOOD EQUIPMENT LLC 1128,+1 (550) 013-9355,,2836 Industrial Road,Portland,ME,04101,https://legacy-cb141dab90a0.invalid,inactive,15881.79,2026-01-25T22:00:00Z
A000113,Westfield Foods Corporation 540,,accounts@westfieldfoodscorporatio562.example,665 Industrial Road,Austin,TX,,https://www.westfieldfoodscorporatio562.example/directory,on_hold,7674.23,2026-08-31T04:00:00Z
A000114,Evergreen Office Supply Incorporated,,accounts@evergreenofficesupplyinc85.exaxple,2618  River Road,Madison,WI,53703,,on_hold,1133.94,2025-12-20T01:00:00Z
A000115,Pioneer Office Supply Limited 1067,(555) 012-3705,accounts@pioneerofficesupplylibit1089.example,579 Commerce Avenue,Albany,NY,12207,,inactive,14966.10,2025-08-16T16:00:00Z
A000116,Keystone Technology LLC,,,4742 Market St,Raleigh,NC,27601,,active,5544.81,2026-07-04T18:00:00Z
A000117,Summit Packaging Ltd 679,555-014-9043,,5815 Market Street,Madison,WI,53703,https://legacy-d325f8b2d45c.invalid,active,9572.30,2026-06-27T14:00:00Z
A000118,KEYSTONE ANALYTICS CORPORATION 505,,accounts@kzystoneanalyticscorpora527.example,9181 Market St,Raleigh,NC,27601,https://www.keystoneanalyticscorpora527.example/directory,inactive,7241.65,2026-05-25T18:00:00Z
A000119,Pioneer Equipment Limited627,555-012-2340,accounts@pioneerequipmentlimited6649.examplo,3890 River Road,Albany,NY,12207,https://legacy-9abec9bd321b.invalid,active,8817.68,2026-08-06T20:00:00Z
A000120,Redwood Equipment LLC 728,,,7622 Oak Avenue,Portland,ME,04101,,inactive,10264.22,2025-10-11T00:00:00Z
A000121,Maple Logistics Incorporated,,ACCOUNTS@maplelogisticsincorporat68.example,2000 Main St,Denver,CO,80202,,inactive,910.18,2025-05-28T15:00:00Z
A000122,Westfield Foods Ltd 1040,,accounts@westfieldfoodslimiged1041062.example,9377 Oak Ave,Portland,ME,04101,,inactive,14548.30,2026-08-13T01:00:00Z
A000123,Keystone OfficeSupply Corporation,(555) 011-6918,accounts@keystoneofficesupplycorc187.example,6392  River Road,Columbus,OH,43215,,inactive,2608.16,2026-05-16T14:00:00Z
A000124,Maple Dental Limited,555-011-5193,accounts@mapledentallimited238.examplw,8292 Industrial Road,Portland,ME,04101,,on_hold,3225.71,2026-11-24T00:00:00Z
A000125,Evergreen Technology Incorporated 483,555-018-4495,,8367 River Road,Albany,NY,12207,https://legacy-762f00f4e27a.invalid,on_hold,6894.97,2025-05-22T20:00:00Z
A000126,Redwood Logistics Corp,+1 555-013-7042,accounts@redwoodlogdsticscorporat170.example,5764 Main St,Austin,TX,78701,https://www.redwoodlogisticscorporat170.example/directory,on_hold,2254.36,2026-12-06T23:00:00Z
A000127,Keystone Equipment LLC 725,,accounts@keystonerquipmentllc725747.example,7523 Commerce Avenue,Columbus,OH,43215,https://legacy-b3c9b44432da.invalid,inactive,10201.99,2025-07-04T22:00:00Z
A000128,EvergreenLogistics LLC,,,3181  Market St,Madison,WI,53703,,active,4994.32,2025-02-06T12:00:00Z
A000129,Pioneer Office Supply Corporation 967,,,6678 Market Street,Madison,WI,53703-0000,https://legacy-9792937175a5.invalid,active,13604.32,2026-04-24T12:00:00Z
A000130,Pioneer Foods Corporation,+1 (555) 013-9709,accounts@pioneerfoodscorporatioq159.example,5375 Commerce Ave,Raleigh,NC,27601,https://legacy-aca679946ec1.invalid,inactive,2111.84,2026-07-31T22:00:00Z
A000131,Harbor Technology Corporation,,,7100 Main Street,Portland,ME,04101,https://www.harbortechnologycorporat206.example/directory,inactive,2720.25,2026-09-18T09:00:00Z
A000132,Redwood Logistics LLC 1148,+9 555-013-6384,,3565 Oak Avenue,Austin,TX,78701,https://legacy-adc9654abb49.invalid,inactive,16078.02,2026-06-16T13:00:00Z
A000133,Westfield Technology Incorporated 890,,accounts@westfieydtechnologyincor912.example,3826 Oak,Richmond,VA,23219-0000,,inactive,12503.91,2026-04-01T19:00:00Z
A000134,MAPLE DENTAL LIMITED 616,+1 556-011-4713,,3480 Main Street,Portland,ME,04101,https://legacy-b44cb3f435af.invalid,inactive,8667.99,2026-09-08T21:00:00Z
A000135,Redwood Technology Incorporated 888,,,3747 Industrial Road,Portland,ME,04101-0000,https://legacy-99553decc4c7.invalid,active,12472.30,2026-08-26T19:00:00Z
A000136,KEYSTONE FOODS LIMITED,555-010-2646,,8994 Market Street,Albany,NY,12207,,active,3489.59,2025-11-27T12:00:00Z
A000137,Redwooe Analytics LLC,,,1897 Oak Avenue,Austin,TX,78701,,active,4435.99,2025-02-03T13:00:00Z
A000138,Westfield Wholesale Limited 1100,555-015-3626,,1786 Oak Ave,Austin,TX,78701,https://legacy-87e6658e203e.invalid,on_hold,15405.84,2026-04-03T13:00:00Z
A000139,Maple Dental Incorporated 816,,,1081 Industrial Rd,Portland,ME,04101,,on_hold,11475.41,2025-11-07T17:00:00Z
A000140,Keystone Manufacturing Limited 1055,,accounts@weystonemanufacturinglim1077.example,135 Commerce Avenue,Madison,WI,53703,https://legacy-cab8073394f7.invalid,on_hold,14725.02,2025-01-24T16:00:00Z
A000141,Blue Ridge Wholesale LLC 791,555-017-5003,,168 Commerce Avenue,Madison,WI,53703,,on_hold,11214.29,2025-04-30T20:00:00Z
A000142,Blue Ridge Packaging LLC 771,,,9227 River Road,Albany,NY,12207,,on_hold,10875.89,2025-10-15T20:00:00Z
A000143,Pioneer Wholesale Limited 697,,accounts@pionefrwholesalelimited6719.example,6480 Market Street,Raleigh,NC,27601,https://legacy-a7d8accb0c3c.invalid,on_hold,9898.13,2025-10-22T18:00:00Z
A000144,Blue Ridge Equipment Corporation,555-016-1822,,4776 Market St,Raleigh,NC,27601,https://legacy-d5345c0ab0e9.invalid,active,1932.73,2025-03-20T23:00:00Z
A000145,Keystone Manufacturing Corporation 555,,,1237 River,Albany,NY,12207-0000,https://www.keystonemanufacturingcor577.example/directory,active,7948.10,2025-12-31T04:00:00Z
A000146,Maple Logistics Corporation,,,5703 Oak,Richmond,VA,23219,https://www.maplelogisticscorporatio168.example/directory,inactive,2269.55,2026-11-09T20:00:00Z
A000147,Keystone Equipment Corp,,,4926 Commerce Avenue,Columbus,OH,,,on_hold,1891.88,2026-08-19T08:00:00Z
A000148,Evergreen Manufacturing Incorporated 453,+1 (555) 018-1675,,7251 River Road,Columbus,OH,43215,https://legacy-bed8e13fd533.invalid,on_hold,6446.01,2026-08-20T23:00:00Z
A000149,Maple Analytics LLC 1106,(555) 711-7004,accounts@magleanalyticsllc11061128.example,2012 Oak Ave,Richmond,VA,23219,,inactive,15493.52,2026-06-07T01:00:00Z
A000150,Redwood Logistics Limited 648,555-017-6970,,4667 Industrial Rd,Portland,ME,04101,https://www.redwoodlogisticslimited6670.example/directory,inactive,9183.00,2025-06-27T17:00:00Z
A000151,Summit Equipment Corporation 929,,,5283 Commerce,Raleigh,NC,27601,https://www.summitequipmentcorporati951.example/directory,active,13090.80,2025-05-28T22:00:00Z
A000152,Blue Ridge Wholesale Incorporated,(555) 016-5906,,3661 Market Street,Albany,NY,12207,https://legacy-892f8bea3c35.invalid,on_hold,1481.99,2026-02-26T13:00:00Z
A000153,Summit Analytics LLC 1109,,ACCOUNTS@sumhitanalyticsllc11091131.example,2129 Commerce Ave,Columbus,OH,43215,https://legacy-aeffeb0dae65.invalid,inactive,15513.96,2026-04-24T22:00:00Z
A000154,MapleWholesale Limited 1096,,,1650 Main Street,Portland,ME,04102,https://legacy-7c8f21f99b61.invalid,active,15311.37,2026-10-15T08:00:00Z
A000155,Packaging Limited,(555) 011-3701,accounts@maplepackaginglimited298.example,708 Industrial Rd,Austin,TX,78701,,on_hold,4004.55,2025-12-18T21:00:00Z
A000156,Redwood Analytics LLC 708,,,6895 Industrial Road,Austin,TX,78701,,inactive,10089.57,2026-09-07T19:00:00Z
A000157,Pioneer Analytics Corporation 507,,accounts@pionearanalyticscorporat529.example,9250 River,Albany,NY,12207,,inactive,7180.42,2026-11-13T20:00:00Z
